Mol_ID,Gene_symbol
MOL000433,PLIN2
MOL000433,CDK6
MOL000433,ZKSCAN4
MOL000433,ALPK1
MOL000433,EGLN1
MOL000433,PPP2R2A
MOL000433,FCGR2B
MOL000433,EIF4E
MOL000433,SENP8
MOL000433,BTN2A1
MOL000433,FTO
MOL000433,ZNF211
MOL000433,E2F5
MOL000433,VLDLR
MOL000433,WDR4
MOL000433,PANX1
MOL000433,CROT
MOL000433,SENP2
MOL000433,SLC17A9
MOL000433,DCT
MOL000433,CETP
MOL000433,P38C
MOL000433,GEMIN5
MOL000433,LAMB3
MOL000433,MIR26B
MOL000433,NFIX
MOL000433,ATP4B
MOL000433,KEL
MOL000433,CDK2AP2
MOL000433,CEP85L
MOL000433,CSTF1
MOL000433,VCAM1
MOL000433,HBB
MOL000433,ABCA11P
MOL000433,SOCS36E
MOL000433,RHBDD2
MOL000433,CCL2
MOL000433,RBM39
MOL000433,ZBTB24
MOL000433,KCNG2
MOL000433,ZNF624
MOL000433,EPG5
MOL000433,ADK
MOL000433,MORF4L2
MOL000433,ZNF184
MOL000433,VPS4B
MOL000433,GNG3
MOL000433,WHRN
MOL000433,APOL6
MOL000433,ORAI3
MOL000433,LMBR1
MOL000433,RBM7
MOL000433,CPXCR1
MOL000433,SFRP4
MOL000433,PYGB
MOL000433,ANLN
MOL000433,MSRB1
MOL000433,TMBIM1
MOL000433,ZNF786
MOL000433,FAM161B
MOL000433,ARFRP1
MOL000433,RHOT1
MOL000433,PTGR2
MOL000433,TPRG1L
MOL000433,KAT2B
MOL000433,ARL5A
MOL000433,PHF1
MOL000433,KRTAP19-1
MOL000433,ZNF746
MOL000433,CMBL
MOL000433,WDR1
MOL000433,CBLIF
MOL000433,SPPL2B
MOL000433,LDLR
MOL000433,HLA-DMB
MOL000433,LAMP1
MOL000433,THSD1
MOL000433,BCL6
MOL000433,MIR31
MOL000433,PGF
MOL000433,POLR2A
MOL000433,HYMAI
MOL000433,MCC
MOL000433,JADE1
MOL000433,SEPTIN6
MOL000433,ZBTB1
MOL000433,CHST12
MOL000433,NOM1
MOL000433,CSF2RB
MOL000433,ARID2
MOL000433,IL6ST
MOL000433,CDS2
MOL000433,PRICKLE2
MOL000433,AK2
MOL000433,ASH1L
MOL000433,DEPTOR
MOL000433,MAP4
MOL000433,ELK4
MOL000433,HELLS
MOL000433,TNN
MOL000433,HR
MOL000433,MIPEP
MOL000433,TIA1
MOL000433,DAPP1
MOL000433,BRCA1
MOL000433,TRNT1
MOL000433,PTTG1
MOL000433,LINC02232
MOL000433,P2RY10
MOL000433,TIAM2
MOL000433,FAM120A
MOL000433,LINC01514
MOL000433,MIR181B1
MOL000433,H2AC11
MOL000433,SLU7
MOL000433,MIR301
MOL000433,AFF4
MOL000433,WDR5B
MOL000433,ERGIC2
MOL000433,GLS2
MOL000433,CD83
MOL000433,RALA
