Mol_ID,Gene_symbol,Description
MOL000098,MAPK14,mitogen-activated protein kinase 14
MOL000098,RICTOR,RPTOR independent companion of MTOR complex 2
MOL000098,IGF2,insulin like growth factor 2
MOL000098,GPX4,glutathione peroxidase 4
MOL000098,PLCG1,phospholipase C gamma 1
MOL000098,MAPT,microtubule associated protein tau
MOL000098,LDHB,lactate dehydrogenase B
MOL000098,SNCA,synuclein alpha
MOL000098,TACR1,tachykinin receptor 1
MOL000098,MYH6,myosin heavy chain 6
MOL000098,DLG2,discs large MAGUK scaffold protein 2
MOL000098,CLDN5,claudin 5
MOL000098,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
MOL000098,SYK,spleen associated tyrosine kinase
MOL000098,VEGFA,vascular endothelial growth factor A
MOL000098,NQO1,NAD(P)H quinone dehydrogenase 1
MOL000098,KEAP1,kelch like ECH associated protein 1
MOL000098,GFAP,glial fibrillary acidic protein
MOL000098,PXN,paxillin
MOL000098,ITK,IL2 inducible T cell kinase
MOL000098,IDO1,"indoleamine 2,3-dioxygenase 1"
MOL000098,IL17A,interleukin 17A
MOL000098,PKM,pyruvate kinase M1/2
MOL000098,HDAC9,histone deacetylase 9
MOL000098,CASP7,caspase 7
MOL000098,ABCD3,ATP binding cassette subfamily D member 3
MOL000098,ADRB3,adrenoceptor beta 3
MOL000098,ALPP,"alkaline phosphatase, placental"
MOL000098,CLEC4E,C-type lectin domain family 4 member E
MOL000098,MYD88,MYD88 innate immune signal transduction adaptor
MOL000098,NFKB1,nuclear factor kappa B subunit 1
MOL000098,CASP3,caspase 3
MOL000098,GCLC,glutamate-cysteine ligase catalytic subunit
MOL000098,NOS2,nitric oxide synthase 2
MOL000098,HMOX1,heme oxygenase 1
MOL000098,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL000098,HSPA1A,heat shock protein family A (Hsp70) member 1A
MOL000098,SLC7A11,solute carrier family 7 member 11
MOL000098,CLPP,caseinolytic mitochondrial matrix peptidase proteolytic subunit
MOL000098,IFNA1,interferon alpha 1
MOL000098,BDNF,brain derived neurotrophic factor
MOL000098,UGT1A1,UDP glucuronosyltransferase family 1 member A1
MOL000098,ISCU,iron-sulfur cluster assembly enzyme
MOL000098,AKT1,AKT serine/threonine kinase 1
MOL000098,IGHE,immunoglobulin heavy constant epsilon
MOL000098,HMGB1,high mobility group box 1
MOL000098,NANOS2,nanos C2HC-type zinc finger 2
MOL000098,DDIT3,DNA damage inducible transcript 3
MOL000098,PRDX2,peroxiredoxin 2
MOL000098,SIRT1,sirtuin 1
MOL000098,FSHR,follicle stimulating hormone receptor
MOL000098,TERT,telomerase reverse transcriptase
MOL000098,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1
MOL000098,BMI1,"BMI1 proto-oncogene, polycomb ring finger"
MOL000098,NR2F1,nuclear receptor subfamily 2 group F member 1
MOL000098,CAT,catalase
MOL000098,CCND1,cyclin D1
MOL000098,EPHB4,EPH receptor B4
MOL000098,TXN,thioredoxin
