	logFC	AveExpr	t	P.Value	adj.P.Val	B
PRF1	-2.26044074494289	5.96297151790501	-12.0902218858725	1.73619316375143e-26	1.68388635415044e-25	49.2705568843508
S1PR5	-2.25589312360298	3.9580417834656	-15.0618409326129	2.44796527835175e-36	5.33471433234344e-35	71.8348224922753
MS4A1	-2.24297688630578	4.54648649220473	-12.8599314873584	5.19346008858326e-29	6.07705730843266e-28	55.0487564324528
ANKRD36 /// ANKRD36B /// LOC400986	-2.23909026627746	5.95246902805669	-13.6252650300132	1.51742691760733e-31	2.22805061542473e-30	60.8532575499999
HLA-DQA1 /// HLA-DRA	-2.23156116392442	5.03744784454144	-14.0790395246085	4.68458749316175e-33	7.66640010515755e-32	64.3137546069056
CPVL	-2.20923534990446	7.03167666170782	-9.57425422362439	1.51514481342755e-18	8.35156590488162e-18	31.1237998493439
CD247	-2.20609430786654	4.74863120775664	-19.6421999843069	1.75786555547102e-51	1.97601378915816e-49	106.554552173006
MYC	-2.20520683127028	6.12697565426246	-14.8779821036499	1.00774542729766e-35	2.08764664500908e-34	70.4262803364133
RORA	-2.20446774330826	3.80021124467306	-17.6719495865558	4.95702223237538e-45	2.61463857287677e-43	91.7656485650196
GZMB	-2.19838426923175	6.16537170349388	-9.1792333706734	2.31175757105203e-17	1.19635635205311e-16	28.4255222051012
SGK1	-2.17163566492959	4.51349766358412	-14.3773761848613	4.73721899447944e-34	8.57074159502521e-33	66.5940635251969
KLRK1	-2.1681624599948	4.3435794987385	-12.7900708070633	8.82517597252248e-29	1.02740630973831e-27	54.5215030418502
PRKCH	-2.16524729266523	4.86213174979144	-18.2853671080504	4.70801556325145e-47	3.22828627172152e-45	96.4026692674033
GIMAP5	-2.14468511805004	6.54519216261348	-17.108929340865	3.63591458460225e-43	1.53897940164307e-41	87.4886067725675
EVL	-2.14288563518004	4.39356019786139	-20.3506052352709	9.16535896691565e-54	1.4404961267838e-51	111.787894707181
TBX21	-2.12953212782126	5.19902852831789	-13.9206795973362	1.57866831946252e-32	2.49422319505864e-31	63.1048666929472
IL32	-2.12210238602612	4.88022270369815	-14.2558135230786	1.20552506146682e-33	2.10338049528702e-32	65.6645073412743
STAT4	-2.09012097729928	5.03785080929342	-14.8324850629037	1.43022012716716e-35	2.9539215096341e-34	70.0777878663896
FAIM3	-2.07824342991142	4.04145017005426	-20.8066119320808	3.19378419612914e-55	6.4411112449581e-53	115.129656896216
DOCK10	-2.07572661565233	4.32846690611366	-20.9798997370969	8.97015717462145e-56	2.05027892487931e-53	116.39378064608
PEBP1	-2.04435311102914	4.4988051757042	-18.6346985422106	3.36093252706759e-48	2.58942857731488e-46	99.0311056123202
ABLIM1	-2.02545628564962	4.40193043195784	-22.9039370000333	8.45761613802956e-62	3.86625825723125e-59	130.20194524132
TXK	-2.01458368544557	3.9254557890729	-19.0265568805075	1.76035364250492e-49	1.56762921125406e-47	101.96781831029
DYRK2	-1.98397067323705	3.36181282223522	-23.2194488525435	9.05809658342258e-63	5.64019918275941e-60	132.424638136013
SKAP1	-1.97842478933779	4.73609585068895	-17.4959477610633	1.89444541565241e-44	9.27872301080615e-43	90.4306105712314
EOMES	-1.95456829386049	3.55900579976931	-16.4665907925333	4.98190438850691e-41	1.69954817870607e-39	82.5894910795411
HLA-DMB	-1.948948951614	4.53059536850835	-16.6809866574464	9.62331391626399e-42	3.58625345238164e-40	84.226648677543
TSHZ1	-1.93538050659864	4.25371931415848	-20.1488458694466	4.07500776250043e-53	5.70251596478887e-51	110.302474805197
DENND2D	-1.9089745424683	7.27605412595731	-18.9881142498276	2.34967993655257e-49	1.98910559567173e-47	101.680289110274
FBXL16	-1.90350744476188	3.2199548009086	-22.0612401906148	3.49694320302558e-59	1.08993361559756e-56	124.206893167389
