Mol_ID,Gene_symbol,Description
MOL002776,NOS2,nitric oxide synthase 2
MOL002776,NEUROG2,neurogenin 2
MOL002776,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL002776,HSPA1A,heat shock protein family A (Hsp70) member 1A
MOL002776,ESR1,estrogen receptor 1
MOL002776,DVL2,dishevelled segment polarity protein 2
MOL002776,AKT1,AKT serine/threonine kinase 1
MOL002776,HMGB1,high mobility group box 1
MOL002776,DDIT3,DNA damage inducible transcript 3
MOL002776,CD14,CD14 molecule
MOL002776,SIRT1,sirtuin 1
MOL002776,SULT2A1,sulfotransferase family 2A member 1
MOL002776,BAAT,bile acid-CoA:amino acid N-acyltransferase
MOL002776,MAPK8,mitogen-activated protein kinase 8
MOL002776,NTRK2,neurotrophic receptor tyrosine kinase 2
MOL002776,CXCL2,C-X-C motif chemokine ligand 2
MOL002776,TGFB1,transforming growth factor beta 1
MOL002776,CSF3,colony stimulating factor 3
MOL002776,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
MOL002776,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta
MOL002776,IL1B,interleukin 1 beta
MOL002776,TGFB2,transforming growth factor beta 2
MOL002776,CASP1,caspase 1
MOL002776,BCL2,BCL2 apoptosis regulator
MOL002776,FAS,Fas cell surface death receptor
MOL002776,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1
MOL002776,SOD1,superoxide dismutase 1
MOL002776,MAP2K7,mitogen-activated protein kinase kinase 7
MOL002776,CYCS,"cytochrome c, somatic"
MOL002776,MYC,"MYC proto-oncogene, bHLH transcription factor"
MOL002776,NOTCH1,notch receptor 1
MOL002776,BAX,"BCL2 associated X, apoptosis regulator"
MOL002776,MAPK1,mitogen-activated protein kinase 1
MOL002776,STAT1,signal transducer and activator of transcription 1
MOL002776,GSK3B,glycogen synthase kinase 3 beta
MOL002776,MTOR,mechanistic target of rapamycin kinase
MOL002776,TNF,tumor necrosis factor
MOL002776,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
MOL002776,CEBPB,CCAAT enhancer binding protein beta
MOL002776,CXCL8,C-X-C motif chemokine ligand 8
MOL002776,WNT3A,Wnt family member 3A
MOL002776,CDKN2A,cyclin dependent kinase inhibitor 2A
MOL002776,CYP27A1,cytochrome P450 family 27 subfamily A member 1
MOL002776,TGFBR1,transforming growth factor beta receptor 1
MOL002776,SNAI1,snail family transcriptional repressor 1
MOL002776,CASP9,caspase 9
MOL002776,GABPA,GA binding protein transcription factor subunit alpha
MOL002776,PTGS2,prostaglandin-endoperoxide synthase 2
MOL002776,INS,insulin
MOL002776,SLC2A4,solute carrier family 2 member 4
MOL002776,CCL2,C-C motif chemokine ligand 2
MOL002776,CRMP1,collapsin response mediator protein 1
MOL002776,UCP1,uncoupling protein 1
MOL002776,ATP5F1A,ATP synthase F1 subunit alpha
MOL002776,GSS,glutathione synthetase
MOL002776,NELFCD,negative elongation factor complex member C/D
MOL002776,LIF,LIF interleukin 6 family cytokine
MOL002776,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming"
MOL002776,IL6,interleukin 6
MOL002776,MIR21,microRNA 21
