Mol_ID,Gene_symbol
MOL000098,PLAT
MOL000098,FASN
MOL000098,FOSL1
MOL000098,F3
MOL000098,FOS
MOL000098,RUNX2
MOL000098,ERN2
MOL000098,IL6
MOL000098,UGT1A9
MOL000098,EGF
MOL000098,CDKN2A
MOL000098,SELE
MOL000098,BRCA1
MOL000098,TNFRSF10B
MOL000098,LDLR
MOL000098,THBS1
MOL000098,RB1
MOL000098,XBP1
MOL000098,STAT3
MOL000098,JUN
MOL000098,KDM1A
MOL000098,CAT
MOL000098,BDNF
MOL000098,AXIN2
MOL000098,PRKCA
MOL000098,SNCA
MOL000098,PLAU
MOL000098,GABRR3
MOL000098,GSTM2
MOL000098,LYN
MOL000098,ERBB3
MOL000098,F2
MOL000098,PRKCD
MOL000098,NOS2
MOL000098,CRH
MOL000098,HNRNPA1
MOL000211,STAT3
MOL000211,ADRA1D
MOL000211,PTGDR2
MOL000211,GPBAR1
MOL000211,ADRA1A
MOL000211,ADRB2
MOL000211,LMNB1
MOL000211,MAPK1
MOL000211,ERBB2
MOL000211,ADRA1B
MOL000211,CALM3
MOL000211,TP53
MOL000211,PTGDR
MOL000211,MAPK8
MOL000211,NFKB1
MOL000211,PTGFR
MOL000211,MYLK2
MOL000211,YY1
MOL000211,ALDH2
MOL000211,LIPG
MOL000211,ADRA2C
MOL000211,CALM1
MOL000211,CALM2
MOL000211,ADRA2A
MOL000211,DBH
MOL000211,ADRA2B
MOL000354,NCF1
MOL000354,CCNB1
MOL000354,PTGS2
MOL000354,EGFR
MOL000354,OLR1
MOL000354,CASP3
MOL000354,CSK
MOL000354,CRMP1
MOL000354,CAMK2G
MOL000354,XDH
MOL000354,MAP2K7
MOL000354,SLC47A1
MOL000354,SLCO1B1
MOL000354,MAPK14
MOL000354,MAPK8
MOL000354,TNF
MOL000354,MAP2K1
MOL000354,AKT1
MOL000354,WEE1
MOL000354,NOS2
MOL000354,CASP8
MOL000354,PARP1
MOL000354,PPARG
MOL000358,NR1I2
MOL000358,GABRB1
MOL000358,CACNG8
MOL000358,CACNB1
MOL000358,GRIN2B
MOL000358,AKR1C2
MOL000358,GRIN2D
MOL000358,CACNA1I
MOL000358,CACNA1H
MOL000358,RORA
MOL000358,CACNB2
MOL000358,CACNG2
MOL000358,CACNG3
MOL000358,VDR
MOL000358,GABRA1
MOL000358,GABRA5
MOL000358,CACNG1
MOL000358,CACNA2D3
MOL000358,CACNA1G
MOL000358,GABRD
MOL000358,THRB
MOL000358,ESR1
MOL000358,CASP8
MOL000358,BCL2
MOL000358,GRIN2A
MOL000358,GRIN3A
MOL000358,GABRG1
MOL000358,CACNA2D4
MOL000358,CACNA1C
MOL000358,GABRG2
MOL000358,CACNG6
MOL000358,GABRA2
MOL000358,GABRA6
MOL000358,GABRA4
MOL000358,CACNA1A
MOL000358,GRIN3B
MOL000358,SIGMAR1
MOL000358,CACNG5
MOL000358,CLEC4E
MOL000358,CACNA2D1
MOL000358,GRIN1
MOL000358,CACNB4
MOL000358,CYP27B1
MOL000358,GABRE
MOL000358,CACNA1D
MOL000358,AR
MOL000358,GABRB2
MOL000358,PRKCA
MOL000358,PRKAA2
MOL000358,GABRP
MOL000358,CACNB3
MOL000358,CACNA1B
MOL000358,GRIN2C
MOL000358,CACNA2D2
MOL000358,GABRA3
MOL000358,SULT2B1
MOL000358,ESR2
MOL000358,CACNA1F
MOL000358,CACNG7
MOL000358,GABRB3
MOL000358,CASP3
MOL000358,EDN1
MOL000358,NR1I3
MOL000358,GABRG3
MOL000358,BAX
MOL000358,CACNA1S
MOL000358,CASP9
MOL000358,GABRQ
MOL000358,NR1H4
MOL000358,MAP2
MOL000358,CACNA1E
MOL000358,PPARA
MOL000358,CACNG4
MOL000358,TGFB1
MOL000358,GPBAR1
MOL000358,RXRA
MOL000359,GABRG2
MOL000359,CACNA2D1
MOL000359,GABRA4
MOL000359,CACNB2
MOL000359,CACNA1G
MOL000359,GABRE
MOL000359,CACNA1D
MOL000359,CACNG3
MOL000359,CACNA1H
MOL000359,AKR1C2
MOL000359,SULT2B1
MOL000359,CYP27B1
MOL000359,CACNG1
MOL000359,CACNA2D4
MOL000359,GABRD
MOL000359,GABRB1
MOL000359,RORA
MOL000359,CACNA2D2
MOL000359,CACNB1
MOL000359,GRIN2B
MOL000359,GRIN1
MOL000359,GRIN2D
MOL000359,CACNG2
MOL000359,NR1I3
MOL000359,CACNA1A
MOL000359,GABRB2
MOL000359,GRIN2C
MOL000359,CACNB3
MOL000359,VDR
MOL000359,NR1I2
MOL000359,GABRA6
MOL000359,GABRQ
MOL000359,GABRP
MOL000359,CACNG8
MOL000359,CACNG6
MOL000359,CACNB4
MOL000359,CACNA1B
MOL000359,CACNG5
MOL000359,GABRG1
MOL000359,CACNA2D3
MOL000359,RXRA
MOL000359,GPBAR1
MOL000359,GABRA1
MOL000359,GABRA5
MOL000359,CASP8
MOL000359,PRKCA
MOL000359,PRKAA2
MOL000359,GRIN2A
MOL000359,ESR2
MOL000359,BCL2
MOL000359,TGFB1
