Mol_ID,Gene_symbol
MOL004328,BCL2
MOL004328,BCL2A1
MOL004328,BCL2L1
MOL004328,BDNF
MOL004328,BIRC5
MOL004328,BRCA1
MOL004328,BRCA2
MOL004328,BTG2
MOL004328,CASP2
MOL004328,CASP3
MOL004328,CASP7
MOL004328,CASP9
MOL004328,CAT
MOL004328,CCL2
MOL004328,CCNB1
MOL004328,CCND1
MOL004328,CCNE1
MOL004328,CCNG1
MOL004328,CCNH
MOL004328,CDC25A
MOL004328,CDC25C
MOL004328,SHBG
MOL004328,CDK4
MOL004328,CDKN1A
MOL004328,CDKN2A
MOL004328,CFTR
MOL004328,CHEK1
MOL004328,CHEK2
MOL004328,CPT1A
MOL004328,CRADD
MOL004328,CTNNB1
MOL004328,CTSD
MOL004328,CXCL8
MOL004328,CYCS
MOL004328,CYP19A1
MOL004328,CYP1A1
MOL004328,CYP1A2
MOL004328,CYP1B1
MOL004328,CYP2C19
MOL004328,SPP1
MOL004328,ST1A8
MOL004328,STAT1
MOL004328,STAT3
MOL004328,SULT1A1
MOL004328,SULT1A3
MOL004328,TADA3
MOL004328,TEK
MOL004328,TGFB1
MOL004328,TH
MOL004328,PROM1
MOL004328,PSEN2
MOL004328,PTEN
MOL004328,PTGS1
MOL004328,MCL1
MOL004328,MDK
MOL004328,MDM2
MOL004328,MDM4
MOL004328,MIR141
MOL004328,RPTOR
MOL004328,SERPINE1
MOL004328,SESN2
MOL004328,SNAI2
MOL004328,SI
MOL004328,SIAH1
MOL004328,SIRT1
MOL004328,SLC16A1
MOL004328,SLC2A1
MOL004328,SLC2A4
MOL004328,SLC5A1
MOL004328,SLC6A3
MOL004328,SLCO1B1
MOL004328,SLCO1B3
MOL004328,SLCO2B1
MOL004328,SNAI1
MOL004328,PRKCB
MOL004328,SNCA
MOL004328,SOCS3
MOL004328,PGD
MOL004328,PGR
MOL004328,PIDD1
MOL004328,PON1
MOL004328,PPARA
MOL004328,PPARB
MOL004328,PPARG
MOL004328,PPM1D
MOL004328,PRDX1
MOL004328,PRKCA
MOL004328,SOD1
MOL004328,PRKCG
MOL004328,PTGS2
MOL004328,PTTG1
MOL004328,RB1
MOL004328,SOD2
MOL004328,RPRM
MOL004328,SOX2
MOL004328,RELA
MOL000098,HDAC4
MOL000098,HELLS
MOL000098,HGF
MOL000098,HIF1A
MOL000098,HMGB1
MOL000098,HMGCR
MOL000098,HMMR
MOL000098,HMOX1
MOL000098,HNRNPA1
MOL000098,HNRNPA2B1
MOL000098,HNRNPK
MOL000098,HRAS
MOL000098,HSP90AA1
MOL000098,HSP90AB1
MOL000098,HSP90B1
MOL000098,HSPA1A
MOL000098,HSPA1B
MOL000098,HSPA4
MOL000098,HSPA5
MOL000098,HSPA8
MOL000098,HSPB1
MOL000098,HSPD1
MOL000098,ICAM1
MOL000098,IDH1
MOL000098,IDO1
MOL000098,IFIH1
MOL000098,IFNB1
MOL000098,IFNG
MOL000098,IGF1
MOL000098,IGF1R
MOL000098,IGF2
MOL000098,IGFBP3
MOL000098,IKBKB
MOL000098,IL10
MOL000098,IL13
MOL000098,IL17A
MOL000098,IL18
MOL000098,IL1A
MOL000098,IL1B
MOL000098,IL1R1
MOL000098,IL2
MOL000098,IL4
MOL000098,IL5
MOL000098,IL6
MOL000098,IL7
MOL000098,INS
MOL000098,INSR
MOL000098,IQGAP1
MOL000098,IRAK1
MOL000098,IRF3
MOL000098,IRS1
MOL000098,ISG15
MOL000098,ITGA2B
MOL000098,ITGAM
MOL000098,ITGAV
MOL000098,ITGAX
MOL000098,ITGB1
MOL000098,ITGB2
MOL000098,ITGB3
MOL000098,JAG1
MOL000098,JAK1
MOL000098,JAK2
MOL000098,JUN
MOL000098,KAT2B
MOL000098,KDR
MOL000098,KEAP1
MOL000098,KIF11
MOL000098,KIF14
MOL000098,KIF15
MOL000098,KIF20A
