Mol_ID,Gene_symbol
MOL007111,PTPN11
MOL007111,CDC25C
MOL007111,MPI
MOL007111,PTPRC
MOL007111,CDC25B
MOL007111,AKR1B1
MOL007111,RBBP4
MOL007111,CES1
MOL007111,TERT
MOL007111,EPHX1
MOL007111,CDC25A
MOL007111,EGFR
MOL007111,KDR
MOL007111,GABRA5
MOL007111,ADORA2A
MOL007111,CYP19A1
MOL007111,HSD11B1
MOL007111,KCNA3
MOL007111,CA2
MOL007111,CA1
MOL007111,CA12
MOL007111,CA9
MOL007111,CXCR2
MOL007111,HCRTR2
MOL007111,MAOA
MOL007111,MAOB
MOL007111,ADORA1
MOL007111,ADORA2B
MOL007111,ADORA3
MOL007111,NAT1
MOL007111,IMPDH2
MOL007111,SIRT2
MOL007111,NAMPT
MOL007111,PTAFR
MOL007111,EPHB4
MOL007111,MTNR1A
MOL007111,MTNR1B
MOL007111,AR
MOL007111,CCNE2
MOL007111,CCNB3
MOL007111,CACNA1C
MOL007111,P2RX7
MOL007111,HCRTR1
MOL007111,CREBBP
MOL007149,HSD17B1
MOL007149,STS
MOL007149,POLA1
MOL007149,CYP19A1
MOL007149,TBXA2R
MOL007149,ESR1
MOL007149,ESR2
MOL007149,NR3C1
MOL007149,AR
MOL007149,NR1H3
MOL007149,HTR2B
MOL007149,KDR
MOL007149,RXRA
MOL007149,PLA2G5
MOL007149,CYP27A1
MOL007149,ALOX5
MOL007149,NR1H2
MOL007149,MC4R
MOL007149,ELAVL1
MOL007149,CYP24A1
MOL007149,SHBG
MOL007149,PRKCZ
MOL007149,PLA2G2A
MOL007149,ALOX15
MOL007149,NOS2
MOL007149,TSPO
MOL007149,HDAC2
MOL007149,ACHE
MOL007149,SLC6A4
MOL007149,SAE1
MOL007149,PTGS2
MOL007149,CASR
MOL007149,CA12
MOL007149,HSD17B2
MOL007149,LRRK2
MOL007149,SRC
MOL007149,HNF4A
MOL007149,PDE2A
MOL007149,PDE10A
MOL007149,MAOB
MOL007149,GPBAR1
MOL007149,NR3C2
MOL007149,MYLK
MOL007149,RXRG
MOL007149,ADAMTS5
MOL007149,PARP1
MOL007149,GRM1
MOL007149,P2RX7
MOL007149,MAOA
MOL005438,HMGCR
MOL005438,CYP51A1
MOL005438,NR1H3
MOL005438,CYP17A1
MOL005438,AR
MOL005438,NPC1L1
MOL005438,ESR2
MOL005438,RORC
MOL005438,CYP19A1
MOL005438,ESR1
MOL005438,SHBG
MOL005438,SREBF2
MOL005438,SLC6A2
MOL005438,RORA
MOL005438,PTPN1
MOL005438,SERPINA6
MOL005438,BCHE
MOL005438,SLC6A4
MOL001755,SRD5A1
MOL001755,SRD5A2
MOL001755,CYP19A1
MOL001755,SHBG
MOL001755,FABP1
MOL001755,NR3C1
MOL001755,CYP17A1
MOL001755,AR
MOL001755,PGR
MOL001755,HSD17B3
MOL001755,NR1I3
MOL001755,NR1I2
MOL001755,SERPINA6
MOL001755,NR3C2
MOL001755,SIGMAR1
MOL001755,NPC1L1
MOL001755,CTSD
MOL001755,SLC6A3
MOL001755,MAPK3
MOL001755,CDC25A
MOL001755,TRPA1
MOL001755,CCR5
MOL001755,PTGS1
MOL001755,PTPN11
MOL001755,AKR1B10
MOL001755,HSD11B1
MOL001755,PTGES
MOL001755,FAAH
MOL001755,PTPN2
MOL001755,NOS2
MOL001755,ADORA3
MOL001755,PTPN1
MOL001755,ESR1
MOL001755,ESR2
MOL001755,HSD11B2
MOL001755,TRPV1
MOL001755,FNTA
MOL001755,PRKCH
MOL001755,CES1
MOL001755,ALOX5
MOL001755,BCHE
MOL001755,RORA
MOL001755,BACE1
MOL001755,PTPN6
MOL001755,IDO1
MOL008845,NR1H4
MOL008845,GPBAR1
MOL008845,POLB
MOL008845,AKR1B10
MOL008845,VDR
MOL008845,AR
MOL008845,HSD11B1
MOL008845,UGT2B7
MOL008845,SERPINA6
MOL008845,SHBG
MOL008845,HSD17B3
MOL008845,G6PD
MOL008845,GABBR1
MOL008845,CDC25A
MOL008845,CYP19A1
MOL008845,PPARA
MOL008845,PPARD
MOL008845,NPC1L1
MOL008845,GABRA2
MOL008845,FABP2
MOL008845,HSD11B2
MOL008845,PTGER2
MOL008845,FNTA
MOL008845,PTGFR
MOL008845,FABP4
MOL008845,FABP3
MOL008845,FABP5
MOL008845,SLC22A6
MOL008845,FFAR1
MOL008845,KDM5C
MOL008845,PTPN1
MOL008845,CDC45
MOL008845,HAO1
MOL008845,ESR1
MOL008845,KDM2A
MOL008845,CA2
MOL008845,PTGES
MOL008845,TBXA2R
MOL008845,PTGDR
MOL008845,SAE1
MOL008845,PHF8
MOL008845,PTPRC
